name,quadrant,ring,isNew,description
VMware Horizon,Applications,Manage,TRUE,"<p>The continued adoption of containers for deployments, especially <a href=""https://www.thoughtworks.com/radar/platforms/docker"">Docker</a>, has made <strong>container security scanning</strong> a must-have technique and we've moved this technique into Adopt to reflect that. Specifically, containers introduced a new path for security issues; it's vital that you use tools to scan and check containers during deployment. We prefer using automated scanning tools that run as part of the deployment pipeline.</p>"
VMware vSphere with Tanzu,Platforms,Deliver,TRUE,
RedHat Openshift,Platforms,Deliver,TRUE,
HashiCorp Terraform,Tools,Deliver,TRUE,
Cisco SecureX,Security,Sell,FALSE,
VMware Carbon Black,Security,Deliver,FALSE,
Veeam,Tools,Sell,FALSE,
VMware NSX-T,Platforms,Manage,TRUE,
VMware vSphere,Platforms,Manage,TRUE,
Dell VxRail,Platforms,Manage,TRUE,
VMware Bitfusion,Applications,Sell,FALSE,
VMware Cloud on AWS,Platforms,Manage,TRUE,
VMware VeloCloud,Platforms,Pursue,FALSE,
VMware Cloud Disaster Recovery,Tools,Deliver,FALSE,
Dell PowerStore,Platforms,Manage,TRUE,
Cisco Tetration,Tools,Sell,FALSE,
RedHat Ansible,Tools,Deliver,TRUE,
vRealize Operations Manager,Tools,Manage,TRUE,
vRealize Automation,Tools,Manage,TRUE,
vRealize Network Insight,Tools,Manage,TRUE,
vRealize LogInsight,Tools,Manage,TRUE,
Dell PowerScale,Platforms,Manage,TRUE,
VMware Cloud Foundation,Platforms,Manage,TRUE,
Google Cloud VMware Engine,Platforms,Pursue,FALSE,
Azure VMware Solution,Platforms,Pursue,FALSE,
Oracle Cloud VMware Solution,Platforms,Pursue,FALSE,
Rancher,Platforms,Pursue,FALSE,
Horizon Azure Cloud,Applications,Pursue,FALSE,
AWS Elastic Kubernetes Service (EKS),Platforms,Deliver,FALSE,
AWS Elastic Compute Cloud (EC2),Platforms,Deliver,FALSE,
AWS Simple Storage Service (S3),Platforms,Deliver,FALSE,
AWS S3 Glacier,Platforms,Deliver,FALSE,
Cisco Umbrella,Security,Sell,FALSE,
Cisco Viptella,Platforms,Sell,FALSE,
Cisco DNA Center,Platforms,Sell,FALSE,
Dell APEX,Platforms,Pursue,FALSE,
Dell PowerProtect,Platforms,Pursue,FALSE,
Cisco Duo,Security,Manage,FALSE,
Meraki SDWAN,Platforms,Sell,FALSE,
AWS Workspaces,Applications,Pursue,FALSE,
SoulMachines,Applications,Sell,FALSE,
AWS Quicksight,Applications,Pursue,FALSE,
RedHat Openshift on AWS,Platforms,Sell,FALSE,
RedHat Openshift Dedicated,Platforms,Sell,FALSE,
Azure RedHat Openshift,Platforms,Pursue,FALSE,
RedHat Openshift on GCP,Platforms,Pursue,FALSE,
RedHat Advanced Cluster Manage-Runment,Applications,Pursue,FALSE,
VMware Tanzu Mission Control,Applications,Deliver,TRUE,
VMware Tanzu Service Mesh,Applications,Pursue,FALSE,
Dell Integrated Data Protection Appliance (IDPA),Platforms,Manage,TRUE,
Cisco Firepower,Security,Manage,TRUE,
Palo Alto NGFW,Security,Manage,TRUE,
Palo Alto Cortex,Security,Deliver,TRUE,
ExtraHop Reveal(x),Security,Deliver,TRUE,
Darktrace,Security,Deliver,TRUE,
Forcepoint DEP,Security,Deliver,TRUE,
Forcepoint DUP,Security,Deliver,TRUE,
VMware Carbon Black,Security,Deliver,TRUE,
Cisco AMP,Security,Manage,TRUE,
Forcepoint Guard,Security,Sell,TRUE,
AlertLogic NDR,Security,Manage,TRUE,
DELL Cyber Recovery Vault,Security,Deliver,TRUE,
Cisco Cloudlock,Security,Deliver,TRUE,
Cisco Tetration SaaS,Security,Sell,TRUE,
Cisco ISE,Security,Deliver,TRUE,
Cisco ACI,Security,Sell,TRUE,
Cisco StealthWatch,Security,Deliver,TRUE,
MicroFocus Voltage,Security,Sell,TRUE,
MicroFocus Fortify,Security,Sell,TRUE,
OKTA IAM SSO,Security,Deliver,TRUE,
Forcepoint CASB,Security,Sell,TRUE,
SecureWorks Taegis XDR,Security,Sell,TRUE,
SecureWorks Taegis VDR,Security,Sell,TRUE,
Guardicore MS,Security,Pursue,TRUE,
Appgate SDP,Security,Pursue,TRUE,
Intrusion Shield,Security,Pursue,TRUE,
Splunk Enterprise,Security,Pursue,TRUE,
Proofpoint ES,Security,Deliver,TRUE,
Proofpoint EUA,Security,Sell,TRUE,
Cisco CES,Security,Deliver,TRUE,
Cisco WSA,Security,Sell,TRUE,
Cisco SecureX,Security,Sell,TRUE,
Cisco Meraki MX NGFW,Security,Manage,TRUE,
Dell Integrated Data Protection Appliance (IDPA),Platforms,Manage,FALSE,
